#           k/h    P           
    0.54502E-05    0.46847E+01
    0.56350E-05    0.48374E+01
    0.58260E-05    0.49950E+01
    0.60234E-05    0.51577E+01
    0.62276E-05    0.53258E+01
    0.64387E-05    0.54993E+01
    0.66569E-05    0.56785E+01
    0.68826E-05    0.58635E+01
    0.71159E-05    0.60546E+01
    0.73571E-05    0.62519E+01
    0.76064E-05    0.64556E+01
    0.78642E-05    0.66659E+01
    0.81308E-05    0.68831E+01
    0.84064E-05    0.71074E+01
    0.86913E-05    0.73389E+01
    0.89859E-05    0.75781E+01
    0.92905E-05    0.78250E+01
    0.96054E-05    0.80799E+01
    0.99310E-05    0.83432E+01
    0.10268E-04    0.86151E+01
    0.10616E-04    0.88958E+01
    0.10975E-04    0.91856E+01
    0.11347E-04    0.94849E+01
    0.11732E-04    0.97939E+01
    0.12130E-04    0.10113E+02
    0.12541E-04    0.10443E+02
    0.12966E-04    0.10783E+02
    0.13405E-04    0.11134E+02
    0.13860E-04    0.11497E+02
    0.14330E-04    0.11872E+02
    0.14815E-04    0.12258E+02
    0.15317E-04    0.12658E+02
    0.15837E-04    0.13070E+02
    0.16373E-04    0.13496E+02
    0.16928E-04    0.13936E+02
    0.17502E-04    0.14390E+02
    0.18095E-04    0.14859E+02
    0.18709E-04    0.15343E+02
    0.19343E-04    0.15843E+02
    0.19999E-04    0.16359E+02
    0.20676E-04    0.16892E+02
    0.21377E-04    0.17442E+02
    0.22102E-04    0.18011E+02
    0.22851E-04    0.18597E+02
    0.23625E-04    0.19203E+02
    0.24426E-04    0.19829E+02
    0.25254E-04    0.20475E+02
    0.26110E-04    0.21142E+02
    0.26995E-04    0.21831E+02
    0.27910E-04    0.22542E+02
    0.28856E-04    0.23277E+02
    0.29834E-04    0.24035E+02
    0.30846E-04    0.24818E+02
    0.31891E-04    0.25627E+02
    0.32972E-04    0.26462E+02
    0.34090E-04    0.27324E+02
    0.35245E-04    0.28214E+02
    0.36440E-04    0.29134E+02
    0.37675E-04    0.30083E+02
    0.38952E-04    0.31063E+02
    0.40272E-04    0.32075E+02
    0.41637E-04    0.33120E+02
    0.43048E-04    0.34199E+02
    0.44508E-04    0.35313E+02
    0.46016E-04    0.36464E+02
    0.47576E-04    0.37652E+02
    0.49188E-04    0.38879E+02
    0.50856E-04    0.40145E+02
    0.52580E-04    0.41453E+02
    0.54362E-04    0.42804E+02
    0.56204E-04    0.44198E+02
    0.58109E-04    0.45638E+02
    0.60079E-04    0.47125E+02
    0.62115E-04    0.48660E+02
    0.64221E-04    0.50245E+02
    0.66398E-04    0.51882E+02
    0.68648E-04    0.53572E+02
    0.70975E-04    0.55317E+02
    0.73381E-04    0.57119E+02
    0.75868E-04    0.58980E+02
    0.78439E-04    0.60901E+02
    0.81098E-04    0.62885E+02
    0.83847E-04    0.64934E+02
    0.86689E-04    0.67049E+02
    0.89627E-04    0.69233E+02
    0.92665E-04    0.71488E+02
    0.95806E-04    0.73816E+02
    0.99053E-04    0.76220E+02
    0.10241E-03    0.78703E+02
    0.10588E-03    0.81266E+02
    0.10947E-03    0.83912E+02
    0.11318E-03    0.86645E+02
    0.11702E-03    0.89467E+02
    0.12098E-03    0.92380E+02
    0.12508E-03    0.95388E+02
    0.12932E-03    0.98494E+02
    0.13371E-03    0.10170E+03
    0.13824E-03    0.10501E+03
    0.14293E-03    0.10843E+03
    0.14777E-03    0.11196E+03
    0.15278E-03    0.11561E+03
    0.15796E-03    0.11937E+03
    0.16331E-03    0.12325E+03
    0.16885E-03    0.12726E+03
    0.17457E-03    0.13141E+03
    0.18049E-03    0.13568E+03
    0.18660E-03    0.14010E+03
    0.19293E-03    0.14465E+03
    0.19947E-03    0.14936E+03
    0.20623E-03    0.15422E+03
    0.21322E-03    0.15923E+03
    0.22045E-03    0.16441E+03
    0.22792E-03    0.16976E+03
    0.23565E-03    0.17528E+03
    0.24363E-03    0.18098E+03
    0.25189E-03    0.18686E+03
    0.26043E-03    0.19293E+03
    0.26926E-03    0.19920E+03
    0.27838E-03    0.20567E+03
    0.28782E-03    0.21235E+03
    0.29757E-03    0.21924E+03
    0.30766E-03    0.22636E+03
    0.31809E-03    0.23370E+03
    0.32887E-03    0.24129E+03
    0.34002E-03    0.24911E+03
    0.35154E-03    0.25719E+03
    0.36346E-03    0.26552E+03
    0.37578E-03    0.27413E+03
    0.38851E-03    0.28301E+03
    0.40168E-03    0.29217E+03
    0.41530E-03    0.30163E+03
    0.42937E-03    0.31138E+03
    0.44393E-03    0.32145E+03
    0.45897E-03    0.33184E+03
    0.47453E-03    0.34256E+03
    0.49062E-03    0.35362E+03
    0.50724E-03    0.36503E+03
    0.52444E-03    0.37680E+03
    0.54221E-03    0.38894E+03
    0.56059E-03    0.40146E+03
    0.57959E-03    0.41438E+03
    0.59924E-03    0.42770E+03
    0.61955E-03    0.44144E+03
    0.64055E-03    0.45560E+03
    0.66226E-03    0.47021E+03
    0.68471E-03    0.48527E+03
    0.70792E-03    0.50079E+03
    0.73191E-03    0.51680E+03
    0.75672E-03    0.53330E+03
    0.78237E-03    0.55030E+03
    0.80889E-03    0.56782E+03
    0.83631E-03    0.58587E+03
    0.86465E-03    0.60447E+03
    0.89396E-03    0.62364E+03
    0.92426E-03    0.64338E+03
    0.95559E-03    0.66371E+03
    0.98798E-03    0.68464E+03
    0.10215E-02    0.70620E+03
    0.10561E-02    0.72839E+03
    0.10919E-02    0.75123E+03
    0.11289E-02    0.77474E+03
    0.11672E-02    0.79893E+03
    0.12067E-02    0.82383E+03
    0.12476E-02    0.84943E+03
    0.12899E-02    0.87577E+03
    0.13336E-02    0.90285E+03
    0.13788E-02    0.93069E+03
    0.14256E-02    0.95932E+03
    0.14739E-02    0.98873E+03
    0.15238E-02    0.10190E+04
    0.15755E-02    0.10500E+04
    0.16289E-02    0.10819E+04
    0.16841E-02    0.11146E+04
    0.17412E-02    0.11483E+04
    0.18002E-02    0.11828E+04
    0.18612E-02    0.12182E+04
    0.19243E-02    0.12545E+04
    0.19895E-02    0.12917E+04
    0.20570E-02    0.13299E+04
    0.21267E-02    0.13690E+04
    0.21988E-02    0.14090E+04
    0.22733E-02    0.14501E+04
    0.23504E-02    0.14921E+04
    0.24300E-02    0.15350E+04
    0.25124E-02    0.15790E+04
    0.25976E-02    0.16240E+04
    0.26856E-02    0.16699E+04
    0.27766E-02    0.17169E+04
    0.28707E-02    0.17648E+04
    0.29680E-02    0.18138E+04
    0.30687E-02    0.18637E+04
    0.31727E-02    0.19146E+04
    0.32802E-02    0.19665E+04
    0.33914E-02    0.20193E+04
    0.35063E-02    0.20732E+04
    0.36252E-02    0.21279E+04
    0.37481E-02    0.21836E+04
    0.38751E-02    0.22402E+04
    0.40064E-02    0.22976E+04
    0.41422E-02    0.23559E+04
    0.42826E-02    0.24150E+04
    0.44278E-02    0.24749E+04
    0.45779E-02    0.25356E+04
    0.47331E-02    0.25969E+04
    0.48935E-02    0.26589E+04
    0.50593E-02    0.27215E+04
    0.52308E-02    0.27847E+04
    0.54081E-02    0.28484E+04
    0.55914E-02    0.29124E+04
    0.57810E-02    0.29769E+04
    0.59769E-02    0.30416E+04
    0.61795E-02    0.31066E+04
    0.63890E-02    0.31716E+04
    0.66055E-02    0.32367E+04
    0.68294E-02    0.33017E+04
    0.70609E-02    0.33666E+04
    0.73002E-02    0.34311E+04
    0.75477E-02    0.34953E+04
    0.78035E-02    0.35589E+04
    0.80680E-02    0.36219E+04
    0.83415E-02    0.36841E+04
    0.86242E-02    0.37453E+04
    0.89165E-02    0.38055E+04
    0.92187E-02    0.38644E+04
    0.95312E-02    0.39219E+04
    0.98543E-02    0.39779E+04
    0.10188E-01    0.40320E+04
    0.10534E-01    0.40843E+04
    0.10891E-01    0.41343E+04
    0.11260E-01    0.41821E+04
    0.11641E-01    0.42273E+04
    0.12036E-01    0.42697E+04
    0.12444E-01    0.43092E+04
    0.12866E-01    0.43454E+04
    0.13302E-01    0.43783E+04
    0.13753E-01    0.44075E+04
