#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.545024E-05   0.226722E+07   0.226722E+07   0.302292E+07   0.302292E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.280207E-01
   0.563498E-05   0.226722E+07   0.226722E+07   0.302292E+07   0.302292E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.289704E-01
   0.582598E-05   0.226722E+07   0.226722E+07   0.302292E+07   0.302292E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.299524E-01
   0.602345E-05   0.226722E+07   0.226722E+07   0.302291E+07   0.302291E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.309676E-01
   0.622761E-05   0.226722E+07   0.226722E+07   0.302291E+07   0.302291E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.320172E-01
   0.643870E-05   0.226722E+07   0.226722E+07   0.302291E+07   0.302290E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.331025E-01
   0.665694E-05   0.226722E+07   0.226722E+07   0.302290E+07   0.302290E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.342245E-01
   0.688258E-05   0.226722E+07   0.226722E+07   0.302290E+07   0.302290E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.353845E-01
   0.711586E-05   0.226722E+07   0.226722E+07   0.302289E+07   0.302289E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.365839E-01
   0.735706E-05   0.226722E+07   0.226722E+07   0.302289E+07   0.302289E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.378239E-01
   0.760642E-05   0.226722E+07   0.226722E+07   0.302288E+07   0.302288E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.391059E-01
   0.786424E-05   0.226722E+07   0.226722E+07   0.302288E+07   0.302287E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.404314E-01
   0.813080E-05   0.226722E+07   0.226722E+07   0.302287E+07   0.302287E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.418019E-01
   0.840640E-05   0.226722E+07   0.226722E+07   0.302286E+07   0.302286E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.432187E-01
   0.869133E-05   0.226722E+07   0.226722E+07   0.302286E+07   0.302285E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.446836E-01
   0.898593E-05   0.226722E+07   0.226722E+07   0.302285E+07   0.302285E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.461982E-01
   0.929051E-05   0.226722E+07   0.226722E+07   0.302284E+07   0.302284E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.477641E-01
   0.960541E-05   0.226722E+07   0.226722E+07   0.302283E+07   0.302283E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.493830E-01
   0.993099E-05   0.226722E+07   0.226722E+07   0.302282E+07   0.302282E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.510568E-01
   0.102676E-04   0.226722E+07   0.226722E+07   0.302281E+07   0.302281E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.527874E-01
   0.106156E-04   0.226722E+07   0.226722E+07   0.302280E+07   0.302280E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.545766E-01
   0.109754E-04   0.226722E+07   0.226722E+07   0.302279E+07   0.302279E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.564265E-01
   0.113475E-04   0.226722E+07   0.226722E+07   0.302278E+07   0.302278E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226280E+07   0.226280E+07   0.583391E-01
   0.117321E-04   0.226722E+07   0.226722E+07   0.302277E+07   0.302276E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226279E+07   0.226279E+07   0.603165E-01
   0.121297E-04   0.226722E+07   0.226722E+07   0.302275E+07   0.302275E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226279E+07   0.226279E+07   0.623609E-01
   0.125409E-04   0.226722E+07   0.226722E+07   0.302274E+07   0.302273E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226279E+07   0.226279E+07   0.644746E-01
   0.129659E-04   0.226722E+07   0.226722E+07   0.302272E+07   0.302272E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226279E+07   0.226279E+07   0.666599E-01
   0.134054E-04   0.226722E+07   0.226722E+07   0.302270E+07   0.302270E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600531E+00   0.226279E+07   0.226279E+07   0.689194E-01
   0.138598E-04   0.226722E+07   0.226722E+07   0.302269E+07   0.302268E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.712554E-01
   0.143296E-04   0.226722E+07   0.226722E+07   0.302267E+07   0.302266E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227694E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.736705E-01
   0.148153E-04   0.226722E+07   0.226722E+07   0.302265E+07   0.302264E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.761676E-01
   0.153175E-04   0.226722E+07   0.226722E+07   0.302262E+07   0.302262E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.787492E-01
   0.158366E-04   0.226722E+07   0.226722E+07   0.302260E+07   0.302260E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.814184E-01
   0.163734E-04   0.226722E+07   0.226722E+07   0.302258E+07   0.302257E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.841781E-01
   0.169284E-04   0.226722E+07   0.226722E+07   0.302255E+07   0.302254E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.870312E-01
   0.175022E-04   0.226722E+07   0.226722E+07   0.302252E+07   0.302251E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.899811E-01
   0.180954E-04   0.226722E+07   0.226722E+07   0.302249E+07   0.302248E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.930310E-01
   0.187088E-04   0.226722E+07   0.226722E+07   0.302246E+07   0.302245E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600530E+00   0.226279E+07   0.226279E+07   0.961842E-01
   0.193429E-04   0.226722E+07   0.226722E+07   0.302242E+07   0.302241E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.994442E-01
   0.199986E-04   0.226722E+07   0.226722E+07   0.302238E+07   0.302238E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.102815E+00
   0.206764E-04   0.226722E+07   0.226722E+07   0.302234E+07   0.302234E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.106300E+00
   0.213772E-04   0.226722E+07   0.226722E+07   0.302230E+07   0.302229E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.109903E+00
   0.221018E-04   0.226722E+07   0.226722E+07   0.302225E+07   0.302225E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.113628E+00
   0.228510E-04   0.226722E+07   0.226722E+07   0.302221E+07   0.302220E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600529E+00   0.226279E+07   0.226279E+07   0.117479E+00
   0.236255E-04   0.226722E+07   0.226722E+07   0.302215E+07   0.302214E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600528E+00   0.226279E+07   0.226279E+07   0.121461E+00
   0.244263E-04   0.226722E+07   0.226722E+07   0.302210E+07   0.302209E+07   0.000000E+00   0.226722E+07   0.226722E+07   0.227693E+07  -0.600528E+00   0.226279E+07   0.226279E+07   0.125578E+00
   0.252542E-04   0.226721E+07   0.226721E+07   0.302204E+07   0.302202E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227693E+07  -0.600528E+00   0.226279E+07   0.226279E+07   0.129834E+00
   0.261102E-04   0.226721E+07   0.226721E+07   0.302197E+07   0.302196E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227693E+07  -0.600528E+00   0.226279E+07   0.226279E+07   0.134234E+00
   0.269952E-04   0.226721E+07   0.226721E+07   0.302190E+07   0.302189E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600527E+00   0.226279E+07   0.226279E+07   0.138784E+00
   0.279102E-04   0.226721E+07   0.226721E+07   0.302183E+07   0.302182E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600527E+00   0.226278E+07   0.226278E+07   0.143488E+00
   0.288562E-04   0.226721E+07   0.226721E+07   0.302175E+07   0.302174E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600527E+00   0.226278E+07   0.226278E+07   0.148351E+00
   0.298343E-04   0.226721E+07   0.226721E+07   0.302167E+07   0.302165E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600527E+00   0.226278E+07   0.226278E+07   0.153379E+00
   0.308456E-04   0.226721E+07   0.226721E+07   0.302158E+07   0.302156E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600526E+00   0.226278E+07   0.226278E+07   0.158578E+00
   0.318911E-04   0.226721E+07   0.226721E+07   0.302148E+07   0.302147E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600526E+00   0.226278E+07   0.226278E+07   0.163952E+00
   0.329720E-04   0.226721E+07   0.226721E+07   0.302138E+07   0.302136E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600525E+00   0.226278E+07   0.226278E+07   0.169509E+00
   0.340896E-04   0.226721E+07   0.226721E+07   0.302127E+07   0.302125E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227692E+07  -0.600525E+00   0.226278E+07   0.226278E+07   0.175254E+00
   0.352451E-04   0.226721E+07   0.226721E+07   0.302116E+07   0.302113E+07   0.000000E+00   0.226721E+07   0.226721E+07   0.227691E+07  -0.600525E+00   0.226278E+07   0.226278E+07   0.181194E+00
   0.364397E-04   0.226720E+07   0.226720E+07   0.302103E+07   0.302101E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227691E+07  -0.600524E+00   0.226278E+07   0.226278E+07   0.187335E+00
   0.376749E-04   0.226720E+07   0.226720E+07   0.302090E+07   0.302087E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227691E+07  -0.600524E+00   0.226278E+07   0.226278E+07   0.193685E+00
   0.389519E-04   0.226720E+07   0.226720E+07   0.302076E+07   0.302073E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227691E+07  -0.600523E+00   0.226277E+07   0.226277E+07   0.200249E+00
   0.402721E-04   0.226720E+07   0.226720E+07   0.302060E+07   0.302057E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227691E+07  -0.600522E+00   0.226277E+07   0.226277E+07   0.207036E+00
   0.416372E-04   0.226720E+07   0.226720E+07   0.302044E+07   0.302041E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227690E+07  -0.600522E+00   0.226277E+07   0.226277E+07   0.214052E+00
   0.430485E-04   0.226720E+07   0.226720E+07   0.302027E+07   0.302023E+07   0.000000E+00   0.226720E+07   0.226720E+07   0.227690E+07  -0.600521E+00   0.226277E+07   0.226277E+07   0.221307E+00
   0.445076E-04   0.226719E+07   0.226719E+07   0.302008E+07   0.302004E+07   0.000000E+00   0.226719E+07   0.226719E+07   0.227690E+07  -0.600520E+00   0.226277E+07   0.226277E+07   0.228807E+00
   0.460162E-04   0.226719E+07   0.226719E+07   0.301988E+07   0.301984E+07   0.000000E+00   0.226719E+07   0.226719E+07   0.227690E+07  -0.600520E+00   0.226276E+07   0.226276E+07   0.236562E+00
   0.475759E-04   0.226719E+07   0.226719E+07   0.301967E+07   0.301963E+07   0.000000E+00   0.226719E+07   0.226719E+07   0.227689E+07  -0.600519E+00   0.226276E+07   0.226276E+07   0.244579E+00
   0.491885E-04   0.226719E+07   0.226719E+07   0.301944E+07   0.301940E+07   0.000000E+00   0.226719E+07   0.226719E+07   0.227689E+07  -0.600518E+00   0.226276E+07   0.226276E+07   0.252867E+00
   0.508558E-04   0.226718E+07   0.226718E+07   0.301920E+07   0.301915E+07   0.000000E+00   0.226718E+07   0.226718E+07   0.227689E+07  -0.600517E+00   0.226276E+07   0.226276E+07   0.261437E+00
