#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.053481227383e-05      -1.316437425852e-03      -9.878414441269e-04      -9.878414769001e-04      -9.878871044602e-04      -9.878987246227e-04       4.742034892303e-01       4.741171135488e-01 
       1.078019957481e-05      -1.378445362539e-03      -1.034396919735e-03      -1.034396955670e-03      -1.034444604358e-03      -1.034456893856e-03       4.742034565865e-01       4.741170839259e-01 
       1.103130268029e-05      -1.443372504155e-03      -1.083146575985e-03      -1.083146615386e-03      -1.083196367990e-03      -1.083209370111e-03       4.742034636268e-01       4.741170941216e-01 
       1.128825472847e-05      -1.511355901249e-03      -1.134193661431e-03      -1.134193704634e-03      -1.134245646635e-03      -1.134259407836e-03       4.742034399247e-01       4.741170737365e-01 
       1.155119195872e-05      -1.582539187042e-03      -1.187646406650e-03      -1.187646454020e-03      -1.187700673606e-03      -1.187715243777e-03       4.742033707049e-01       4.741170079766e-01 
       1.182025378385e-05      -1.657073178139e-03      -1.243618477247e-03      -1.243618529188e-03      -1.243675117272e-03      -1.243690550016e-03       4.742033706226e-01       4.741170115195e-01 
       1.209558286399e-05      -1.735115003675e-03      -1.302228327860e-03      -1.302228384811e-03      -1.302287434988e-03      -1.302303787930e-03       4.742033325724e-01       4.741169772638e-01 
       1.237732518227e-05      -1.816829637962e-03      -1.363600354631e-03      -1.363600417077e-03      -1.363662025626e-03      -1.363679360736e-03       4.742032881911e-01       4.741169368711e-01 
       1.266563012220e-05      -1.902389435706e-03      -1.427864553955e-03      -1.427864622425e-03      -1.427928888238e-03      -1.427947272209e-03       4.742031779816e-01       4.741168308453e-01 
       1.296065054687e-05      -1.991975703753e-03      -1.495157706522e-03      -1.495157781597e-03      -1.495224806165e-03      -1.495244310803e-03       4.742031590830e-01       4.741168163042e-01 
       1.326254288001e-05      -2.085777085782e-03      -1.565622172575e-03      -1.565622254893e-03      -1.565692142177e-03      -1.565712844826e-03       4.742031053464e-01       4.741167671364e-01 
       1.357146718894e-05      -2.183991768954e-03      -1.639407554567e-03      -1.639407644827e-03      -1.639480501183e-03      -1.639502485202e-03       4.742030612078e-01       4.741167277815e-01 
       1.388758726941e-05      -2.286826996305e-03      -1.716670339509e-03      -1.716670438476e-03      -1.716746372516e-03      -1.716769727785e-03       4.742030194872e-01       4.741166910767e-01 
       1.421107073247e-05      -2.394499659248e-03      -1.797574353812e-03      -1.797574462326e-03      -1.797653584753e-03      -1.797678408236e-03       4.742029646284e-01       4.741166414599e-01 
       1.454208909334e-05      -2.507236855547e-03      -1.882291187650e-03      -1.882291306634e-03      -1.882373730062e-03      -1.882400126405e-03       4.742028937640e-01       4.741165760998e-01 
       1.488081786234e-05      -2.625276439650e-03      -1.971000623432e-03      -1.971000753893e-03      -1.971086592607e-03      -1.971114674819e-03       4.742028299657e-01       4.741165180446e-01 
       1.522743663794e-05      -2.748867261476e-03      -2.063890822857e-03      -2.063890965903e-03      -2.063980335595e-03      -2.064010225758e-03       4.742027717798e-01       4.741164658773e-01 
       1.558212920200e-05      -2.878269672800e-03      -2.161158720009e-03      -2.161158876857e-03      -2.161251894304e-03      -2.161283724360e-03       4.742026969306e-01       4.741163973490e-01 
