#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.544594E-05   0.120014E+08   0.120014E+08   0.160006E+08   0.160006E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.594893E-02
   0.563053E-05   0.120014E+08   0.120014E+08   0.160006E+08   0.160005E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.615057E-02
   0.582137E-05   0.120014E+08   0.120014E+08   0.160005E+08   0.160005E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.635904E-02
   0.601869E-05   0.120014E+08   0.120014E+08   0.160004E+08   0.160004E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.657458E-02
   0.622269E-05   0.120014E+08   0.120014E+08   0.160002E+08   0.160002E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.679742E-02
   0.643361E-05   0.120014E+08   0.120014E+08   0.160001E+08   0.160001E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.702782E-02
   0.665168E-05   0.120014E+08   0.120014E+08   0.160000E+08   0.160000E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.726602E-02
   0.687714E-05   0.120014E+08   0.120014E+08   0.159999E+08   0.159999E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120071E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.751230E-02
   0.711024E-05   0.120014E+08   0.120014E+08   0.159997E+08   0.159997E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.776693E-02
   0.735124E-05   0.120014E+08   0.120014E+08   0.159996E+08   0.159996E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.803018E-02
   0.760042E-05   0.120014E+08   0.120014E+08   0.159994E+08   0.159994E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.830236E-02
   0.785803E-05   0.120014E+08   0.120014E+08   0.159992E+08   0.159992E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.858377E-02
   0.812438E-05   0.120014E+08   0.120014E+08   0.159991E+08   0.159991E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.887471E-02
   0.839976E-05   0.120014E+08   0.120014E+08   0.159989E+08   0.159989E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.917551E-02
   0.868447E-05   0.120014E+08   0.120014E+08   0.159987E+08   0.159986E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.948651E-02
   0.897883E-05   0.120014E+08   0.120014E+08   0.159984E+08   0.159984E+08   0.120040E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.980805E-02
   0.928317E-05   0.120014E+08   0.120014E+08   0.159982E+08   0.159982E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.101405E-01
   0.959782E-05   0.120014E+08   0.120014E+08   0.159979E+08   0.159979E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.104842E-01
   0.992314E-05   0.120014E+08   0.120014E+08   0.159977E+08   0.159976E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.108395E-01
   0.102595E-04   0.120014E+08   0.120014E+08   0.159974E+08   0.159974E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.112069E-01
   0.106072E-04   0.120014E+08   0.120014E+08   0.159971E+08   0.159970E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.115868E-01
   0.109668E-04   0.120014E+08   0.120014E+08   0.159967E+08   0.159967E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574156E+00   0.105435E+08   0.105435E+08   0.119795E-01
   0.113385E-04   0.120014E+08   0.120014E+08   0.159964E+08   0.159963E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.123855E-01
   0.117228E-04   0.120014E+08   0.120014E+08   0.159960E+08   0.159960E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.128053E-01
   0.121202E-04   0.120014E+08   0.120014E+08   0.159956E+08   0.159955E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.132393E-01
   0.125310E-04   0.120014E+08   0.120014E+08   0.159951E+08   0.159951E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.136881E-01
   0.129557E-04   0.120014E+08   0.120014E+08   0.159947E+08   0.159946E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.141520E-01
   0.133948E-04   0.120014E+08   0.120014E+08   0.159942E+08   0.159941E+08   0.120039E+08   0.120015E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.146317E-01
   0.138489E-04   0.120014E+08   0.120014E+08   0.159936E+08   0.159936E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.151276E-01
   0.143183E-04   0.120014E+08   0.120014E+08   0.159930E+08   0.159930E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.156403E-01
   0.148036E-04   0.120014E+08   0.120014E+08   0.159924E+08   0.159924E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.161704E-01
   0.153054E-04   0.120014E+08   0.120014E+08   0.159918E+08   0.159918E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.167185E-01
   0.158241E-04   0.120014E+08   0.120014E+08   0.159911E+08   0.159911E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.172851E-01
   0.163605E-04   0.120014E+08   0.120014E+08   0.159903E+08   0.159903E+08   0.120039E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574155E+00   0.105435E+08   0.105435E+08   0.178709E-01
   0.169150E-04   0.120014E+08   0.120014E+08   0.159895E+08   0.159895E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.184766E-01
   0.174884E-04   0.120014E+08   0.120014E+08   0.159887E+08   0.159886E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.191028E-01
   0.180811E-04   0.120014E+08   0.120014E+08   0.159878E+08   0.159877E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.197503E-01
   0.186940E-04   0.120014E+08   0.120014E+08   0.159868E+08   0.159868E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.204196E-01
   0.193276E-04   0.120014E+08   0.120014E+08   0.159858E+08   0.159857E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.211117E-01
   0.199828E-04   0.120014E+08   0.120014E+08   0.159846E+08   0.159846E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574154E+00   0.105435E+08   0.105435E+08   0.218272E-01
   0.206601E-04   0.120014E+08   0.120014E+08   0.159834E+08   0.159834E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574153E+00   0.105435E+08   0.105435E+08   0.225669E-01
   0.213604E-04   0.120014E+08   0.120014E+08   0.159822E+08   0.159821E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574153E+00   0.105435E+08   0.105435E+08   0.233317E-01
   0.220844E-04   0.120014E+08   0.120014E+08   0.159808E+08   0.159808E+08   0.120038E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574153E+00   0.105435E+08   0.105435E+08   0.241224E-01
   0.228329E-04   0.120014E+08   0.120014E+08   0.159794E+08   0.159793E+08   0.120037E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574153E+00   0.105434E+08   0.105434E+08   0.249399E-01
   0.236068E-04   0.120014E+08   0.120014E+08   0.159778E+08   0.159777E+08   0.120037E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574153E+00   0.105434E+08   0.105434E+08   0.257851E-01
   0.244070E-04   0.120014E+08   0.120014E+08   0.159761E+08   0.159761E+08   0.120037E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574152E+00   0.105434E+08   0.105434E+08   0.266590E-01
   0.252343E-04   0.120014E+08   0.120014E+08   0.159744E+08   0.159743E+08   0.120037E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574152E+00   0.105434E+08   0.105434E+08   0.275624E-01
   0.260896E-04   0.120014E+08   0.120014E+08   0.159725E+08   0.159724E+08   0.120037E+08   0.120014E+08   0.120014E+08   0.120070E+08  -0.574152E+00   0.105434E+08   0.105434E+08   0.284965E-01
