#           k/h    P           
    0.54459E-05    0.26772E+01
    0.56305E-05    0.27644E+01
    0.58214E-05    0.28545E+01
    0.60187E-05    0.29475E+01
    0.62227E-05    0.30435E+01
    0.64336E-05    0.31427E+01
    0.66517E-05    0.32451E+01
    0.68771E-05    0.33508E+01
    0.71102E-05    0.34600E+01
    0.73512E-05    0.35727E+01
    0.76004E-05    0.36891E+01
    0.78580E-05    0.38093E+01
    0.81244E-05    0.39335E+01
    0.83998E-05    0.40616E+01
    0.86845E-05    0.41940E+01
    0.89788E-05    0.43306E+01
    0.92832E-05    0.44717E+01
    0.95978E-05    0.46174E+01
    0.99231E-05    0.47679E+01
    0.10259E-04    0.49232E+01
    0.10607E-04    0.50836E+01
    0.10967E-04    0.52493E+01
    0.11338E-04    0.54203E+01
    0.11723E-04    0.55969E+01
    0.12120E-04    0.57793E+01
    0.12531E-04    0.59676E+01
    0.12956E-04    0.61620E+01
    0.13395E-04    0.63628E+01
    0.13849E-04    0.65701E+01
    0.14318E-04    0.67842E+01
    0.14804E-04    0.70052E+01
    0.15305E-04    0.72335E+01
    0.15824E-04    0.74692E+01
    0.16360E-04    0.77125E+01
    0.16915E-04    0.79638E+01
    0.17488E-04    0.82233E+01
    0.18081E-04    0.84913E+01
    0.18694E-04    0.87679E+01
    0.19328E-04    0.90536E+01
    0.19983E-04    0.93486E+01
    0.20660E-04    0.96532E+01
    0.21360E-04    0.99677E+01
    0.22084E-04    0.10292E+02
    0.22833E-04    0.10628E+02
    0.23607E-04    0.10974E+02
    0.24407E-04    0.11332E+02
    0.25234E-04    0.11701E+02
    0.26090E-04    0.12082E+02
    0.26974E-04    0.12476E+02
    0.27888E-04    0.12882E+02
    0.28833E-04    0.13302E+02
    0.29811E-04    0.13735E+02
    0.30821E-04    0.14183E+02
    0.31866E-04    0.14645E+02
    0.32946E-04    0.15122E+02
    0.34063E-04    0.15615E+02
    0.35217E-04    0.16124E+02
    0.36411E-04    0.16649E+02
    0.37645E-04    0.17191E+02
    0.38921E-04    0.17752E+02
    0.40240E-04    0.18330E+02
    0.41604E-04    0.18927E+02
    0.43014E-04    0.19544E+02
    0.44472E-04    0.20181E+02
    0.45980E-04    0.20838E+02
    0.47538E-04    0.21517E+02
    0.49150E-04    0.22218E+02
    0.50816E-04    0.22942E+02
    0.52538E-04    0.23689E+02
    0.54319E-04    0.24461E+02
    0.56160E-04    0.25258E+02
    0.58063E-04    0.26081E+02
    0.60032E-04    0.26930E+02
    0.62066E-04    0.27808E+02
    0.64170E-04    0.28714E+02
    0.66345E-04    0.29649E+02
    0.68594E-04    0.30615E+02
    0.70919E-04    0.31612E+02
    0.73323E-04    0.32642E+02
    0.75808E-04    0.33706E+02
    0.78377E-04    0.34804E+02
    0.81034E-04    0.35937E+02
    0.83781E-04    0.37108E+02
    0.86621E-04    0.38317E+02
    0.89557E-04    0.39565E+02
    0.92592E-04    0.40854E+02
    0.95730E-04    0.42184E+02
    0.98975E-04    0.43558E+02
    0.10233E-03    0.44977E+02
    0.10580E-03    0.46442E+02
    0.10938E-03    0.47955E+02
    0.11309E-03    0.49516E+02
    0.11693E-03    0.51129E+02
    0.12089E-03    0.52794E+02
    0.12499E-03    0.54513E+02
    0.12922E-03    0.56288E+02
    0.13360E-03    0.58121E+02
    0.13813E-03    0.60014E+02
    0.14281E-03    0.61968E+02
    0.14765E-03    0.63985E+02
    0.15266E-03    0.66068E+02
    0.15783E-03    0.68219E+02
    0.16318E-03    0.70440E+02
    0.16871E-03    0.72733E+02
    0.17443E-03    0.75100E+02
    0.18034E-03    0.77544E+02
    0.18646E-03    0.80068E+02
    0.19278E-03    0.82673E+02
    0.19931E-03    0.85363E+02
    0.20607E-03    0.88140E+02
    0.21305E-03    0.91007E+02
    0.22027E-03    0.93967E+02
    0.22774E-03    0.97024E+02
    0.23546E-03    0.10018E+03
    0.24344E-03    0.10344E+03
    0.25169E-03    0.10680E+03
    0.26022E-03    0.11027E+03
    0.26904E-03    0.11385E+03
    0.27816E-03    0.11755E+03
    0.28759E-03    0.12137E+03
    0.29734E-03    0.12531E+03
    0.30742E-03    0.12938E+03
    0.31784E-03    0.13359E+03
    0.32861E-03    0.13792E+03
    0.33975E-03    0.14240E+03
    0.35126E-03    0.14702E+03
    0.36317E-03    0.15178E+03
    0.37548E-03    0.15671E+03
    0.38821E-03    0.16179E+03
    0.40136E-03    0.16703E+03
    0.41497E-03    0.17244E+03
    0.42903E-03    0.17802E+03
    0.44358E-03    0.18378E+03
    0.45861E-03    0.18972E+03
    0.47416E-03    0.19586E+03
    0.49023E-03    0.20219E+03
    0.50684E-03    0.20872E+03
    0.52402E-03    0.21545E+03
    0.54179E-03    0.22240E+03
    0.56015E-03    0.22957E+03
    0.57914E-03    0.23697E+03
    0.59877E-03    0.24460E+03
    0.61906E-03    0.25246E+03
    0.64004E-03    0.26057E+03
    0.66174E-03    0.26894E+03
    0.68417E-03    0.27757E+03
    0.70736E-03    0.28646E+03
    0.73133E-03    0.29563E+03
    0.75612E-03    0.30508E+03
    0.78175E-03    0.31482E+03
    0.80825E-03    0.32486E+03
    0.83564E-03    0.33521E+03
    0.86397E-03    0.34587E+03
    0.89325E-03    0.35685E+03
    0.92353E-03    0.36817E+03
    0.95483E-03    0.37982E+03
    0.98720E-03    0.39182E+03
    0.10207E-02    0.40417E+03
    0.10553E-02    0.41689E+03
    0.10910E-02    0.42999E+03
    0.11280E-02    0.44346E+03
    0.11662E-02    0.45732E+03
    0.12058E-02    0.47158E+03
    0.12466E-02    0.48625E+03
    0.12889E-02    0.50134E+03
    0.13326E-02    0.51685E+03
    0.13777E-02    0.53279E+03
    0.14244E-02    0.54917E+03
    0.14727E-02    0.56600E+03
    0.15226E-02    0.58329E+03
    0.15743E-02    0.60104E+03
    0.16276E-02    0.61926E+03
    0.16828E-02    0.63797E+03
    0.17398E-02    0.65716E+03
    0.17988E-02    0.67684E+03
    0.18598E-02    0.69704E+03
    0.19228E-02    0.71773E+03
    0.19880E-02    0.73893E+03
    0.20554E-02    0.76065E+03
    0.21250E-02    0.78289E+03
    0.21970E-02    0.80565E+03
    0.22715E-02    0.82894E+03
    0.23485E-02    0.85276E+03
    0.24281E-02    0.87711E+03
    0.25104E-02    0.90200E+03
    0.25955E-02    0.92742E+03
    0.26835E-02    0.95338E+03
    0.27744E-02    0.97988E+03
    0.28685E-02    0.10069E+04
    0.29657E-02    0.10345E+04
    0.30662E-02    0.10625E+04
    0.31702E-02    0.10911E+04
    0.32776E-02    0.11202E+04
    0.33887E-02    0.11499E+04
    0.35036E-02    0.11800E+04
    0.36223E-02    0.12106E+04
    0.37451E-02    0.12417E+04
    0.38720E-02    0.12732E+04
    0.40033E-02    0.13052E+04
    0.41390E-02    0.13376E+04
    0.42793E-02    0.13704E+04
    0.44243E-02    0.14036E+04
    0.45743E-02    0.14372E+04
    0.47293E-02    0.14711E+04
    0.48896E-02    0.15053E+04
    0.50554E-02    0.15398E+04
    0.52267E-02    0.15746E+04
    0.54039E-02    0.16096E+04
    0.55870E-02    0.16447E+04
    0.57764E-02    0.16800E+04
    0.59722E-02    0.17154E+04
    0.61746E-02    0.17509E+04
    0.63839E-02    0.17863E+04
    0.66003E-02    0.18217E+04
    0.68240E-02    0.18570E+04
    0.70553E-02    0.18922E+04
    0.72945E-02    0.19271E+04
    0.75417E-02    0.19617E+04
    0.77973E-02    0.19960E+04
    0.80616E-02    0.20299E+04
    0.83349E-02    0.20632E+04
    0.86174E-02    0.20959E+04
    0.89095E-02    0.21280E+04
    0.92115E-02    0.21594E+04
    0.95237E-02    0.21899E+04
    0.98465E-02    0.22194E+04
    0.10180E-01    0.22480E+04
    0.10525E-01    0.22754E+04
    0.10882E-01    0.23015E+04
    0.11251E-01    0.23264E+04
    0.11632E-01    0.23497E+04
    0.12027E-01    0.23715E+04
    0.12434E-01    0.23916E+04
    0.12856E-01    0.24099E+04
    0.13291E-01    0.24263E+04
    0.13742E-01    0.24406E+04
    0.14208E-01    0.24527E+04
    0.14689E-01    0.24626E+04
    0.15187E-01    0.24701E+04
    0.15702E-01    0.24750E+04
    0.16234E-01    0.24773E+04
    0.16784E-01    0.24769E+04
    0.17353E-01    0.24736E+04
    0.17941E-01    0.24674E+04
    0.18550E-01    0.24581E+04
    0.19178E-01    0.24457E+04
    0.19828E-01    0.24302E+04
    0.20500E-01    0.24115E+04
    0.21195E-01    0.23896E+04
    0.21914E-01    0.23645E+04
    0.22657E-01    0.23361E+04
    0.23424E-01    0.23046E+04
    0.24218E-01    0.22701E+04
    0.25039E-01    0.22325E+04
    0.25888E-01    0.21922E+04
    0.26766E-01    0.21491E+04
    0.27673E-01    0.21036E+04
    0.28611E-01    0.20559E+04
    0.29580E-01    0.20062E+04
    0.30583E-01    0.19549E+04
    0.31620E-01    0.19022E+04
    0.32691E-01    0.18486E+04
    0.33800E-01    0.17944E+04
    0.34945E-01    0.17399E+04
    0.36130E-01    0.16857E+04
    0.37354E-01    0.16321E+04
    0.38620E-01    0.15795E+04
    0.39929E-01    0.15283E+04
    0.41283E-01    0.14789E+04
    0.42682E-01    0.14315E+04
    0.44129E-01    0.13864E+04
    0.45625E-01    0.13439E+04
    0.47171E-01    0.13041E+04
    0.48770E-01    0.12670E+04
    0.50423E-01    0.12326E+04
    0.52132E-01    0.12008E+04
    0.53899E-01    0.11714E+04
    0.55726E-01    0.11440E+04
    0.57615E-01    0.11181E+04
    0.59568E-01    0.10933E+04
    0.61587E-01    0.10690E+04
    0.63674E-01    0.10443E+04
    0.65833E-01    0.10187E+04
    0.68064E-01    0.99152E+03
    0.70371E-01    0.96211E+03
    0.72756E-01    0.93005E+03
    0.75222E-01    0.89512E+03
    0.77772E-01    0.85733E+03
    0.80408E-01    0.81702E+03
    0.83134E-01    0.77479E+03
    0.85951E-01    0.73152E+03
    0.88865E-01    0.68830E+03
    0.91877E-01    0.64632E+03
    0.94991E-01    0.60673E+03
    0.98211E-01    0.57057E+03
    0.10154E+00    0.53861E+03
    0.10498E+00    0.51125E+03
    0.10854E+00    0.48849E+03
    0.11222E+00    0.46987E+03
    0.11602E+00    0.45448E+03
    0.11995E+00    0.44107E+03
    0.12402E+00    0.42815E+03
    0.12822E+00    0.41422E+03
    0.13257E+00    0.39806E+03
    0.13706E+00    0.37904E+03
    0.14171E+00    0.35724E+03
    0.14651E+00    0.33356E+03
    0.15148E+00    0.30947E+03
    0.15661E+00    0.28668E+03
    0.16192E+00    0.26664E+03
    0.16741E+00    0.25025E+03
    0.17308E+00    0.23756E+03
    0.17895E+00    0.22778E+03
    0.18502E+00    0.21949E+03
    0.19129E+00    0.21105E+03
    0.19777E+00    0.20111E+03
    0.20448E+00    0.18923E+03
    0.21141E+00    0.17596E+03
    0.21857E+00    0.16266E+03
    0.22598E+00    0.15076E+03
    0.23364E+00    0.14113E+03
    0.24156E+00    0.13370E+03
    0.24975E+00    0.12752E+03
    0.25821E+00    0.12136E+03
    0.26696E+00    0.11435E+03
    0.27601E+00    0.10653E+03
    0.28537E+00    0.98705E+02
    0.29504E+00    0.91810E+02
    0.30504E+00    0.86195E+02
    0.31538E+00    0.81458E+02
    0.32607E+00    0.76844E+02
    0.33712E+00    0.71903E+02
    0.34855E+00    0.66840E+02
    0.36036E+00    0.62182E+02
    0.37258E+00    0.58192E+02
    0.38521E+00    0.54649E+02
    0.39826E+00    0.51171E+02
    0.41176E+00    0.47666E+02
    0.42572E+00    0.44356E+02
    0.44015E+00    0.41405E+02
    0.45507E+00    0.38713E+02
    0.47049E+00    0.36110E+02
    0.48644E+00    0.33605E+02
    0.50293E+00    0.31297E+02
    0.51998E+00    0.29182E+02
    0.53760E+00    0.27181E+02
    0.55582E+00    0.25285E+02
    0.57466E+00    0.23527E+02
    0.59414E+00    0.21895E+02
    0.61428E+00    0.20360E+02
    0.63510E+00    0.18924E+02
    0.65663E+00    0.17591E+02
    0.67888E+00    0.16345E+02
    0.70189E+00    0.15180E+02
    0.72568E+00    0.14098E+02
    0.75028E+00    0.13087E+02
    0.77571E+00    0.12146E+02
    0.80201E+00    0.11270E+02
    0.82919E+00    0.10453E+02
    0.85729E+00    0.96936E+01
    0.88635E+00    0.89866E+01
    0.91640E+00    0.83293E+01
    0.94746E+00    0.77180E+01
    0.97957E+00    0.71500E+01
    0.10128E+01    0.66221E+01
    0.10471E+01    0.61317E+01
    0.10826E+01    0.56763E+01
    0.11193E+01    0.52534E+01
    0.11572E+01    0.48610E+01
    0.11965E+01    0.44968E+01
    0.12370E+01    0.41590E+01
    0.12789E+01    0.38458E+01
    0.13223E+01    0.35553E+01
    0.13671E+01    0.32861E+01
    0.14134E+01    0.30366E+01
    0.14613E+01    0.28056E+01
    0.15109E+01    0.25916E+01
    0.15621E+01    0.23934E+01
    0.16150E+01    0.22099E+01
    0.16698E+01    0.20401E+01
    0.17264E+01    0.18830E+01
    0.17849E+01    0.17377E+01
    0.18454E+01    0.16033E+01
    0.19079E+01    0.14790E+01
    0.19726E+01    0.13641E+01
    0.20395E+01    0.12579E+01
    0.21086E+01    0.11598E+01
    0.21801E+01    0.10691E+01
    0.22540E+01    0.98535E+00
    0.23304E+01    0.90802E+00
    0.24094E+01    0.83662E+00
    0.24910E+01    0.77070E+00
    0.25755E+01    0.70987E+00
    0.26628E+01    0.65374E+00
    0.27530E+01    0.60195E+00
    0.28463E+01    0.55418E+00
    0.29428E+01    0.51012E+00
    0.30425E+01    0.46949E+00
    0.31457E+01    0.43204E+00
    0.32523E+01    0.39752E+00
    0.33625E+01    0.36570E+00
    0.34765E+01    0.33638E+00
    0.35943E+01    0.30937E+00
    0.37162E+01    0.28449E+00
    0.38421E+01    0.26158E+00
    0.39724E+01    0.24047E+00
    0.41070E+01    0.22105E+00
    0.42462E+01    0.20316E+00
    0.43901E+01    0.18670E+00
    0.45389E+01    0.17155E+00
    0.46928E+01    0.15761E+00
    0.48518E+01    0.14478E+00
    0.50163E+01    0.13298E+00
    0.51863E+01    0.12213E+00
    0.53621E+01    0.11215E+00
    0.55439E+01    0.10298E+00
    0.57318E+01    0.94542E-01
    0.59261E+01    0.86787E-01
    0.61269E+01    0.79659E-01
    0.63346E+01    0.73109E-01
    0.65493E+01    0.67089E-01
    0.67713E+01    0.61559E-01
    0.70008E+01    0.56479E-01
    0.72381E+01    0.51812E-01
    0.74834E+01    0.47526E-01
    0.77371E+01    0.43590E-01
    0.79994E+01    0.39975E-01
    0.82705E+01    0.36657E-01
    0.85508E+01    0.33611E-01
    0.88406E+01    0.30815E-01
    0.91403E+01    0.28249E-01
    0.94501E+01    0.25894E-01
    0.97704E+01    0.23733E-01
    0.10102E+02    0.21750E-01
    0.10444E+02    0.19932E-01
    0.10798E+02    0.18263E-01
    0.11164E+02    0.16733E-01
    0.11542E+02    0.15329E-01
    0.11934E+02    0.14042E-01
    0.12338E+02    0.12862E-01
    0.12756E+02    0.11780E-01
    0.13189E+02    0.10789E-01
    0.13636E+02    0.98794E-02
    0.14098E+02    0.90461E-02
    0.14576E+02    0.82823E-02
    0.15070E+02    0.75825E-02
    0.15581E+02    0.69412E-02
    0.16109E+02    0.63536E-02
    0.16655E+02    0.58153E-02
    0.17219E+02    0.53222E-02
    0.17803E+02    0.48705E-02
    0.18406E+02    0.44568E-02
    0.19030E+02    0.40780E-02
    0.19675E+02    0.37310E-02
    0.20342E+02    0.34133E-02
    0.21032E+02    0.31224E-02
    0.21744E+02    0.28561E-02
    0.22482E+02    0.26124E-02
    0.23244E+02    0.23892E-02
    0.24031E+02    0.21850E-02
    0.24846E+02    0.19980E-02
    0.25688E+02    0.18270E-02
    0.26559E+02    0.16704E-02
    0.27459E+02    0.15272E-02
    0.28390E+02    0.13961E-02
    0.29352E+02    0.12762E-02
    0.30347E+02    0.11666E-02
    0.31375E+02    0.10662E-02
    0.32439E+02    0.97447E-03
    0.33538E+02    0.89054E-03
    0.34675E+02    0.81378E-03
    0.35851E+02    0.74359E-03
    0.37066E+02    0.67940E-03
    0.38322E+02    0.62072E-03
    0.39621E+02    0.56706E-03
    0.40964E+02    0.51801E-03
    0.42352E+02    0.47316E-03
    0.43788E+02    0.43217E-03
    0.45272E+02    0.39471E-03
    0.46807E+02    0.36047E-03
    0.48393E+02    0.32917E-03
    0.50034E+02    0.30057E-03
