#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.052849924075e-05      -1.234716873085e-05      -9.260404801559e-06      -9.260405211570e-06      -9.638534576475e-06      -9.344734768087e-06       6.124717737983e-01       5.977123446392e-01 
       1.325459524223e-05      -1.956890476102e-05      -1.467674954009e-05      -1.467675056999e-05      -1.527603208748e-05      -1.481040245260e-05       6.124715793410e-01       5.977121852040e-01 
       1.668654677350e-05      -3.101452910084e-05      -2.326107509226e-05      -2.326107767925e-05      -2.421084196241e-05      -2.347289799708e-05       6.124713329445e-01       5.977120015426e-01 
       2.100711776825e-05      -4.915448278786e-05      -3.686630987556e-05      -3.686631637374e-05      -3.837150879769e-05      -3.720201984156e-05       6.124709903353e-01       5.977117576809e-01 
       2.644639438700e-05      -7.790400739137e-05      -5.842913032249e-05      -5.842914664563e-05      -6.081450821924e-05      -5.896117781732e-05       6.124703743361e-01       5.977113017926e-01 
       3.329403794412e-05      -1.234680216459e-04      -9.260384153891e-05      -9.260388253970e-05      -9.638390402177e-05      -9.344703737293e-05       6.124693646765e-01       5.977105399335e-01 
       4.191471042909e-05      -1.956798455315e-04      -1.467669809276e-04      -1.467670839178e-04      -1.527567037494e-04      -1.481032492826e-04       6.124677917328e-01       5.977093639002e-01 
       5.276749408718e-05      -3.101221542876e-04      -2.326094417753e-04      -2.326097004725e-04      -2.420993163647e-04      -2.347270156542e-04       6.124652942174e-01       5.977074941292e-01 
       6.643033922305e-05      -4.914866226159e-04      -3.686597430064e-04      -3.686603928232e-04      -3.836921518862e-04      -3.720151963859e-04       6.124613306885e-01       5.977045248992e-01 
       8.363084216200e-05      -7.788938529884e-04      -5.842828581472e-04      -5.842844904075e-04      -6.080874542565e-04      -5.895991978502e-04       6.124550507422e-01       5.976998217967e-01 
       1.052849924075e-04      -1.234312997204e-03      -9.260172400232e-04      -9.260213400590e-04      -9.636943301333e-04      -9.344388121438e-04       6.124451006407e-01       5.976923712384e-01 
       1.325459524223e-04      -1.955876092742e-03      -1.467616595465e-03      -1.467626894119e-03      -1.527203539386e-03      -1.480953192454e-03       6.124293267269e-01       5.976805569665e-01 
       1.668654677350e-04      -3.098905013111e-03      -2.325960759529e-03      -2.325986628298e-03      -2.420080194450e-03      -2.347070982924e-03       6.124043365010e-01       5.976618416608e-01 
       2.100711776825e-04      -4.909048752438e-03      -3.686261752441e-03      -3.686326731101e-03      -3.834628651666e-03      -3.719651763620e-03       6.123647341865e-01       5.976321833493e-01 
       2.644639438700e-04      -7.774331068723e-03      -5.841985520447e-03      -5.842148735370e-03      -6.075116636534e-03      -5.894735830952e-03       6.123019893771e-01       5.975851885100e-01 
       3.329403794412e-04      -1.230645883576e-02      -9.258055060069e-03      -9.258465014613e-03      -9.622485958166e-03      -9.341233846231e-03       6.122025952485e-01       5.975107284206e-01 
       4.191471042909e-04      -1.946673138785e-02      -1.467084872201e-02      -1.467187841878e-02      -1.523574351025e-02      -1.480161280622e-02       6.120451835326e-01       5.973927781704e-01 
       5.276749408718e-04      -3.075821612779e-02      -2.324625573967e-02      -2.324884193781e-02      -2.410973285969e-02      -2.345083333660e-02       6.117960079938e-01       5.972059863250e-01 
       6.643033922305e-04      -4.851198472311e-02      -3.682909674227e-02      -3.683559187906e-02      -3.811789690641e-02      -3.714665144938e-02       6.114018595390e-01       5.969103164791e-01 
